text,active,culture,nature,relaxation
usetimeculture: 10:00~19:00 restdateculture: 매주 월요일 parkingculture: 가능 infocenterculture: 0507-1494-1482,0.25,0.25,0.25,0.25
eventplace: 가락몰 3층 하늘공원 playtime: 11:00~18:00 usetimefestival: 무료 sponsor1: 서울시농수산식품공사 sponsor1tel: 02-3435-0286,0.04166666666666657,0.04166666666666657,0.8750000000000003,0.04166666666666657
eventplace: 가락몰 판매동 3층 하늘공원 playtime: 12:00~20:00 usetimefestival: 입장료 무료 sponsor1: 서울시농수산식품공사 sponsor1tel: 02-3435-0455,0.04166666666666657,0.04166666666666657,0.8750000000000003,0.04166666666666657
usetimeculture: 화요일~토요일 10:00~17:00 restdateculture: 매주 일요일~월요일 / 법정공휴일 / 임시공휴일 parkingculture: 불가능 infocenterculture: 02-732-6170,0.25,0.25,0.25,0.25
schedule: 기타 distance: 15.21km taketime: 5시간,0.25,0.25,0.25,0.25
usetimeculture: [대출반납실] - 학기 중 09:00~17:00 / 방학 중 09:00~16:00 [자료열람실 / 참고열람실 / 복사실 / 시청각실] - 학기 중 08:30~17:30 / 방학 중 08:30~16:30 [연학실] - 학기 중 08:00~22:00 / 방학 중 휴실 restdateculture: 주말 및 법정공휴일 / 도서관장이 필요하다고 판단하는 경우 parkingculture: 가능 chkbabycarriageculture: 없음 infocenterculture: 성신교정도서관 02-740-9720,0.0714285714285714,0.7857142857142859,0.0714285714285714,0.0714285714285714
usetime: [주일미사] - 새벽미사 06:00 - 교중미사 11:00 - 학생미사18:00 [토요일] 저녁 주일미사 18:00 [평일미사] - 월요일 06:00 ※ 매주 월요일은 미사 후 성당 문 닫음 - 화요일 19:00 - 수요일 10:00 - 목요일 19:00 - 금요일 10:00 [유아세례] 매월 첫 번째 일요일 17:00 restdate: 매주 월요일 parking: 가능 chkbabycarriage: 없음 infocenter: 02-763-1570,0.25,0.25,0.25,0.25
usetimeculture: [관람시간] - 3월~11월 10:00~18:00 - 12월~2월 10:00~17:00 ※ 관람 시 종료 40분 전까지 입장 [체험시간] - 10:00~16:00 ※ 체험 시 종료 1시간 전까지 입장 restdateculture: 매주 월요일 parkingculture: 불가능 chkbabycarriageculture: 불가 infocenterculture: 02-741-0466,0.7857142857142859,0.0714285714285714,0.0714285714285714,0.0714285714285714
usetime: 상시 개방 restdate: 연중무휴 parking: 가능 infocenter: 동대문구청 정원도시과 02-2127-4398,0.07142857142857137,0.07142857142857137,0.7857142857142859,0.07142857142857137
usetimeculture: [관람시간] 10:00~18:00 [정기전시] - 춘계전시 4월 말~5월 초 - 추계전시 9월 말~10월 초 ※ 일정은 미술관 및 재단 사정에 의해 변동 가능하므로 홈페이지 참조 또는 전화 문의 요망 ※ 전시 관람은 사전 예약제로 운영 restdateculture: 매주 월요일 parkingculture: 가능 chkbabycarriageculture: 없음 infocenterculture: 02-744-7830 070-7774-2524,0.04166666666666658,0.8750000000000004,0.04166666666666658,0.04166666666666658
usetime: 09:00~18:00 restdate: 매주 일요일 / 월요일 / 1월 1일 / 설·추석 연휴 / 간송미술문화재단 요청 시 parking: 불가능 infocenter: 02-954-5757,0.0714285714285714,0.7857142857142859,0.0714285714285714,0.0714285714285714
usetime: 상시 개방 restdate: 연중무휴 parking: 가능 chkbabycarriage: 없음 infocenter: 양천구 공원녹지과 02-2620-4569,0.07142857142857137,0.07142857142857137,0.7857142857142859,0.07142857142857137
usetime: 09:00~18:00 restdate: 연중무휴 parking: 불가능 chkbabycarriage: 없음 infocenter: 0507-1413-5862,0.25,0.25,0.25,0.25
usetime: 상시 개방 (강남메디컬투어센터 평일 10:00~18:00) restdate: 연중무휴 parking: 가능 chkbabycarriage: 없음 infocenter: 강남메디컬투어센터 1661-2230,0.07142857142857137,0.07142857142857137,0.7857142857142859,0.07142857142857137
parking: 가능 chkbabycarriage: 없음 infocenter: 02-3445-0111,0.25,0.25,0.25,0.25
usetimeculture: 09:00~18:00 restdateculture: 주말 / 법정공휴일 parkingculture: 가능 infocenterculture: 02-3454-1517~9,0.25,0.25,0.25,0.25
"playtime: 10월 2일 15:00 ~ 23:00 / 10월 3일 11:00 ~ 22:00 usetimefestival: 무료 sponsor1: 서울특별시, 서초구, 아이러브서초강남역상가번영회 sponsor1tel: 070-8892-4020",0.07142857142857137,0.07142857142857137,0.7857142857142859,0.07142857142857137
usetimeculture: 평일 09:00~21:00 토요일 09:00~18:00 restdateculture: 매주 일요일 / 법정공휴일 / 1월 1일 / 설·추석 연휴 parkingculture: 가능 chkbabycarriageculture: 없음 infocenterculture: 02-488-0386,0.25,0.25,0.25,0.25
eventplace: 강동아트센터 playtime: 10:00~18:00 usetimefestival: 무료 sponsor1: 강동문화재단 sponsor1tel: 02-471-0044,0.029411764705882266,0.6176470588235294,0.3235294117647059,0.029411764705882266
